id,borrower_id,amount,term_months,interest_rate,installment,grade,issue_date,loan_status,id_borrower,full_name,credit_score,annual_income,employment_years,home_ownership,loan_id,repayment_velocity,credit_utilization_ratio,delinquency_freq,debt_to_income_ratio,payment_consistency_score,default_probability,risk_segment,recommended_action
1,1,23491.0,36,0.1760801852071999,844.6438641263188,A,2024-09-21 11:47:56.405193,Charged Off,1,Borrower_1,682,39791.44692100067,21,MORTGAGE,1,0.3352,0.12764346139957486,6,0.0,45.33,1.0,Unknown,None
2,2,25188.0,60,0.1102451496124558,547.9561468056658,B,2024-03-18 11:47:56.405220,Current,2,Borrower_2,686,21013.905960866497,12,MORTGAGE,2,0.2022,0.19426572058126226,12,0.0,29.72,0.0,Unknown,None
3,3,28079.0,60,0.0537141437530197,534.6766007913919,A,2023-11-16 11:47:56.405230,Fully Paid,3,Borrower_3,651,80380.62742459401,11,MORTGAGE,3,0.2084,0.7841723815451955,14,0.0,32.67,0.0,Unknown,None
4,4,5019.0,36,0.227728533872591,193.69039587054107,A,2024-03-19 11:47:56.405237,Current,4,Borrower_4,768,70923.72277691979,23,RENT,4,0.5766,0.5743884848440058,6,0.0,11.53,0.0,Unknown,None
5,5,13419.0,60,0.0953801534487616,282.073336956592,E,2023-04-16 11:47:56.405245,Current,5,Borrower_5,600,25605.831566643064,8,RENT,5,0.2696,0.3146914819250457,20,0.0,16.68,0.0,Unknown,None
6,6,34697.0,60,0.2358561303371618,989.8340716552726,D,2024-06-25 11:47:56.405252,Current,6,Borrower_6,682,124069.58790729176,0,OWN,6,0.4879,0.8685951164359146,1,0.0,53.55,0.0,Unknown,None
7,7,20396.0,60,0.1934868901756507,533.0043928663627,D,2023-11-06 11:47:56.405259,Current,7,Borrower_7,701,138766.2521643539,18,RENT,7,0.211,0.4902972639418657,18,0.0,22.01,0.0,Unknown,None
8,8,30892.0,36,0.2025306979822969,1152.044688606523,E,2025-07-19 11:47:56.405266,Fully Paid,8,Borrower_8,794,41132.22782094268,10,RENT,8,0.2217,0.6724029309495775,0,0.0,79.91,0.0,Unknown,None
9,9,8973.0,60,0.090292299158632,186.3920400195902,E,2025-07-20 11:47:56.405273,Current,9,Borrower_9,667,107288.23700993865,22,MORTGAGE,9,0.3048,0.730345597532552,0,0.0,10.8,0.0,Unknown,None
10,10,22113.0,60,0.0968388851233625,466.40384449470827,E,2024-02-07 11:47:56.405280,Charged Off,10,Borrower_10,679,44958.76869450643,21,RENT,10,0.146,0.5308171186861512,16,0.0,32.92,1.0,Unknown,None
11,11,12136.0,36,0.1542535507648131,423.2307288610702,B,2023-05-16 11:47:56.405287,Current,11,Borrower_11,731,65549.32915907478,22,RENT,11,0.3138,0.46602058964387505,23,0.0,28.08,0.0,Unknown,None
12,12,20203.0,60,0.0844199705299724,413.9309319570559,C,2024-01-16 11:47:56.405294,Current,12,Borrower_12,710,39423.5618281857,23,OWN,12,0.2467,0.5754989669772376,11,0.0,14.13,0.0,Unknown,None
13,13,32285.0,60,0.1110863385366064,703.7044883171993,A,2024-08-20 11:47:56.405300,Fully Paid,13,Borrower_13,729,181158.16378259452,21,RENT,13,0.3454,0.18126019017288436,0,0.0,38.34,0.0,Unknown,None
14,14,24039.0,60,0.1142924955895609,527.8268557372253,E,2024-12-11 11:47:56.405307,Fully Paid,14,Borrower_14,837,51636.87801095428,18,MORTGAGE,14,0.3957,0.226671354828585,0,0.0,28.71,0.0,Unknown,None
15,15,2184.0,60,0.0819259866505528,44.485228576097086,E,2023-04-22 11:47:56.405314,Current,15,Borrower_15,771,63781.88605655117,17,MORTGAGE,15,0.1417,0.11621272499598181,25,0.0,2.84,0.0,Unknown,None
16,16,23727.0,60,0.0910365666790321,493.7280064509006,E,2025-03-22 11:47:56.405321,Current,16,Borrower_16,740,42447.83996669642,11,MORTGAGE,16,0.2731,0.40987124679905673,0,0.0,29.09,0.0,Unknown,None
17,17,17911.0,36,0.2077103684016513,672.6943750109907,D,2024-12-14 11:47:56.405328,Current,17,Borrower_17,601,151851.4164853189,22,RENT,17,0.4386,0.7759597626632753,0,0.0,48.0,0.0,Unknown,None
